流水ID	对话ID	显示类型	对话内容	左边对象类	左边对象ID	左边对象朝向	右边对象类	右边对象ID	右边对象朝向	字体大小	配音id	播放方式
263	abyss_story172	1	abyss_story_072108	funcNpc	npc_huluwa002	155.000000	hero		155.000000	0	0	0
264	abyss_story172	0	abyss_story_072109	funcNpc	npc_huluwa002	155.000000	hero		155.000000	0	0	0
265	abyss_story172	1	abyss_story_072110	funcNpc	npc_huluwa002	155.000000	hero		155.000000	0	0	0
266	guard_story101	1	guard_story_00001	funcNpc		155.000000	hero		155.000000	0	0	0
267	guard_story101	0	guard_story_00002	funcNpc	npc_guard_02	155.000000	hero		155.000000	0	0	0
268	guard_story101	0	guard_story_00003	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
269	guard_story102	0	guard_story_00004	funcNpc	npc_guard_02	155.000000	hero		155.000000	0	0	0
270	guard_story102	0	guard_story_00005	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
271	guard_story103	1	guard_story_00006	funcNpc		155.000000	hero		155.000000	0	0	0
272	guard_story103	0	guard_story_00007	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
273	guard_story103	0	guard_story_00008	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
274	guard_story104	0	guard_story_00009	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
275	guard_story104	1	guard_story_00010	funcNpc		155.000000	hero		155.000000	0	0	0
277	guard_story105	0	guard_story_00011	funcNpc	npc_guard_05	155.000000	hero		155.000000	0	0	0
278	guard_story105	0	guard_story_00012	funcNpc	npc_guard_05	155.000000	hero		155.000000	0	0	0
279	guard_story106	0	guard_story_00013	funcNpc	npc_guard_05	155.000000	hero		155.000000	0	0	0
280	guard_story106	1	guard_story_00014	funcNpc		155.000000	hero		155.000000	0	0	0
281	guard_story107	0	guard_story_00015	funcNpc	npc_guard_05	155.000000	hero		155.000000	0	0	0
282	guard_story107	1	guard_story_00016	funcNpc		155.000000	hero		155.000000	0	0	0
283	guard_story108	0	guard_story_00017	funcNpc	npc_guard_05	155.000000	hero		155.000000	0	0	0
284	guard_story108	1	guard_story_00018	funcNpc		155.000000	hero		155.000000	0	0	0
285	guard_story109	1	guard_story_00019	funcNpc		155.000000	hero		155.000000	0	0	0
286	guard_story109	0	guard_story_00020	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
287	guard_story110	0	guard_story_00021	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
288	guard_story110	0	guard_story_00022	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
289	guard_story110	1	guard_story_00023	funcNpc		155.000000	hero		155.000000	0	0	0
290	guard_story111	0	guard_story_00024	funcNpc	npc_guard_03	155.000000	hero		155.000000	0	0	0
291	guard_story111	1	guard_story_00025	funcNpc		155.000000	hero		155.000000	0	0	0
292	guard_story112	0	guard_story_00026	funcNpc	npc_guard_03	155.000000	hero		155.000000	0	0	0
293	guard_story112	1	guard_story_00027	funcNpc		155.000000	hero		155.000000	0	0	0
294	guard_story113	1	guard_story_00028	funcNpc		155.000000	hero		155.000000	0	0	0
295	guard_story113	0	guard_story_00029	funcNpc	npc_guard_04	155.000000	hero		155.000000	0	0	0
296	guard_story113	1	guard_story_00030	funcNpc		155.000000	hero		155.000000	0	0	0
297	guard_story114	0	guard_story_00031	funcNpc	npc_guard_04	155.000000	hero		155.000000	0	0	0
298	guard_story114	1	guard_story_00032	funcNpc		155.000000	hero		155.000000	0	0	0
299	guard_story115	0	guard_story_00033	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
300	guard_story115	0	guard_story_00034	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
301	guard_story116	0	guard_story_00035	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
302	guard_story116	1	guard_story_00036	funcNpc		155.000000	hero		155.000000	0	0	0
303	guard_story117	1	guard_story_00037	funcNpc		155.000000	hero		155.000000	0	0	0
304	guard_story117	1	guard_story_00038	funcNpc		155.000000	hero		155.000000	0	0	0
305	guard_story117	0	guard_story_00039	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
306	guard_story118	0	guard_story_00040	funcNpc	npc_guard_02	155.000000	hero		155.000000	0	0	0
307	guard_story118	0	guard_story_00041	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
308	guard_story119	0	guard_story_00042	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
309	guard_story119	1	guard_story_00043	funcNpc		155.000000	hero		155.000000	0	0	0
310	guard_story119	0	guard_story_00044	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
311	guard_story120	1	guard_story_00045	funcNpc		155.000000	hero		155.000000	0	0	0
312	guard_story120	0	guard_story_00046	funcNpc	npc_guard_01	155.000000	hero		155.000000	0	0	0
313	guard_story120	1	guard_story_00047	funcNpc		155.000000	hero		155.000000	0	0	0
314	guard_story121	1	guard_story_00048	funcNpc		155.000000	hero		155.000000	0	0	0
315	guard_story121	0	guard_story_00049	funcNpc	npc_guard_06	155.000000	hero		155.000000	0	0	0
316	guard_story121	1	guard_story_00050	funcNpc		155.000000	hero		155.000000	0	0	0
317	guard_story122	1	guard_story_00051	funcNpc		155.000000	hero		155.000000	0	0	0
318	guard_story122	0	guard_story_00052	funcNpc	npc_guard_06	155.000000	hero		155.000000	0	0	0
319	guard_story122	1	guard_story_00053	funcNpc		155.000000	hero		155.000000	0	0	0
320	guard_story122	1	guard_story_00054	funcNpc		155.000000	hero		155.000000	0	0	0
321	guard_story123	0	guard_story_00055	funcNpc	npc_guard_07	155.000000	hero		155.000000	0	0	0
322	guard_story123	1	guard_story_00056	funcNpc		155.000000	hero		155.000000	0	0	0
323	guard_story123	0	guard_story_00057	funcNpc	npc_guard_07	155.000000	hero		155.000000	0	0	0
324	guard_story124	0	guard_story_00058	funcNpc	npc_guard_07	155.000000	hero		155.000000	0	0	0
325	guard_story124	1	guard_story_00059	funcNpc		155.000000	hero		155.000000	0	0	0
326	guard_story124	0	guard_story_00060	funcNpc	npc_guard_07	155.000000	hero		155.000000	0	0	0
327	guard_story125	1	guard_story_00061	funcNpc		155.000000	hero		155.000000	0	0	0
328	guard_story125	0	guard_story_00062	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
329	guard_story125	0	guard_story_00063	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
330	guard_story126	0	guard_story_00064	funcNpc	npc_104206	155.000000	hero		155.000000	0	0	0
331	guard_story126	1	guard_story_00065	funcNpc		155.000000	hero		155.000000	0	0	0
332	guard_story127	0	guard_story_00066	funcNpc	npc_guard_03	155.000000	hero		155.000000	0	0	0
333	guard_story127	1	guard_story_00067	funcNpc		155.000000	hero		155.000000	0	0	0
334	guard_story128	0	guard_story_00068	funcNpc	npc_guard_03	155.000000	hero		155.000000	0	0	0
335	guard_story128	1	guard_story_00069	funcNpc		155.000000	hero		155.000000	0	0	0
336	guard_story129	1	guard_story_00070	funcNpc		155.000000	hero		155.000000	0	0	0
337	guard_story129	0	guard_story_00071	funcNpc	npc_guard_04	155.000000	hero		155.000000	0	0	0
338	guard_story129	1	guard_story_00072	funcNpc		155.000000	hero		155.000000	0	0	0
339	guard_story130	0	guard_story_00073	funcNpc	npc_guard_04	155.000000	hero		155.000000	0	0	0
340	guard_story130	1	guard_story_00074	funcNpc		155.000000	hero		155.000000	0	0	0
341	guard_story131	1	guard_story_00075	funcNpc		155.000000	hero		155.000000	0	0	0
342	guard_story131	0	guard_story_00076	funcNpc	npc_guard_08	155.000000	hero		155.000000	0	0	0
343	guard_story131	1	guard_story_00077	funcNpc		155.000000	hero		155.000000	0	0	0
344	guard_story132	0	guard_story_00078	funcNpc	npc_guard_08	155.000000	hero		155.000000	0	0	0
345	guard_story132	1	guard_story_00079	funcNpc		155.000000	hero		155.000000	0	0	0
